# 1901-2100 年每个农历月的公历首日与天数，用于核对 Calendar::$lunars。
# 数据源自香港天文台《公历与农历日期对照表》(https://www.hko.gov.hk/tc/gts/time/conversion.htm)，
# 并与 6tail/lunar 及 ICU 交叉核对（仅 2057 年八月/九月分界三者有分歧，此处采用香港天文台的结果）。
# 列：公历首日,农历年,农历月,是否闰月,该月天数
1969-12-09,1969,11,0,30
1970-01-08,1969,12,0,29
1970-02-06,1970,1,0,30
1970-03-08,1970,2,0,29
1970-04-06,1970,3,0,29
1970-05-05,1970,4,0,30
1970-06-04,1970,5,0,29
1970-07-03,1970,6,0,30
1970-08-02,1970,7,0,30
1970-09-01,1970,8,0,29
1970-09-30,1970,9,0,30
1970-10-30,1970,10,0,30
1970-11-29,1970,11,0,29
1970-12-28,1970,12,0,30
1971-01-27,1971,1,0,29
1971-02-25,1971,2,0,30
1971-03-27,1971,3,0,29
1971-04-25,1971,4,0,29
1971-05-24,1971,5,0,30
1971-06-23,1971,5,1,29
1971-07-22,1971,6,0,30
1971-08-21,1971,7,0,29
1971-09-19,1971,8,0,30
1971-10-19,1971,9,0,30
1971-11-18,1971,10,0,30
1971-12-18,1971,11,0,29
1972-01-16,1971,12,0,30
1972-02-15,1972,1,0,29
1972-03-15,1972,2,0,30
1972-04-14,1972,3,0,29
1972-05-13,1972,4,0,29
1972-06-11,1972,5,0,30
1972-07-11,1972,6,0,29
1972-08-09,1972,7,0,30
1972-09-08,1972,8,0,29
1972-10-07,1972,9,0,30
1972-11-06,1972,10,0,30
1972-12-06,1972,11,0,29
1973-01-04,1972,12,0,30
1973-02-03,1973,1,0,30
1973-03-05,1973,2,0,29
1973-04-03,1973,3,0,30
1973-05-03,1973,4,0,29
1973-06-01,1973,5,0,29
1973-06-30,1973,6,0,30
1973-07-30,1973,7,0,29
1973-08-28,1973,8,0,29
1973-09-26,1973,9,0,30
1973-10-26,1973,10,0,30
1973-11-25,1973,11,0,29
1973-12-24,1973,12,0,30
1974-01-23,1974,1,0,30
1974-02-22,1974,2,0,30
1974-03-24,1974,3,0,29
1974-04-22,1974,4,0,30
1974-05-22,1974,4,1,29
1974-06-20,1974,5,0,29
1974-07-19,1974,6,0,30
1974-08-18,1974,7,0,29
1974-09-16,1974,8,0,29
1974-10-15,1974,9,0,30
1974-11-14,1974,10,0,30
1974-12-14,1974,11,0,29
1975-01-12,1974,12,0,30
1975-02-11,1975,1,0,30
1975-03-13,1975,2,0,30
1975-04-12,1975,3,0,29
1975-05-11,1975,4,0,30
1975-06-10,1975,5,0,29
1975-07-09,1975,6,0,29
1975-08-07,1975,7,0,30
1975-09-06,1975,8,0,29
1975-10-05,1975,9,0,29
1975-11-03,1975,10,0,30
1975-12-03,1975,11,0,29
1976-01-01,1975,12,0,30
1976-01-31,1976,1,0,30
1976-03-01,1976,2,0,30
1976-03-31,1976,3,0,29
1976-04-29,1976,4,0,30
1976-05-29,1976,5,0,29
1976-06-27,1976,6,0,30
1976-07-27,1976,7,0,29
1976-08-25,1976,8,0,30
1976-09-24,1976,8,1,29
1976-10-23,1976,9,0,29
1976-11-21,1976,10,0,30
1976-12-21,1976,11,0,29
1977-01-19,1976,12,0,30
1977-02-18,1977,1,0,30
1977-03-20,1977,2,0,29
1977-04-18,1977,3,0,30
1977-05-18,1977,4,0,30
1977-06-17,1977,5,0,29
1977-07-16,1977,6,0,30
1977-08-15,1977,7,0,29
1977-09-13,1977,8,0,30
1977-10-13,1977,9,0,29
1977-11-11,1977,10,0,30
1977-12-11,1977,11,0,29
1978-01-09,1977,12,0,29
1978-02-07,1978,1,0,30
1978-03-09,1978,2,0,29
1978-04-07,1978,3,0,30
1978-05-07,1978,4,0,30
1978-06-06,1978,5,0,29
1978-07-05,1978,6,0,30
1978-08-04,1978,7,0,30
1978-09-03,1978,8,0,29
1978-10-02,1978,9,0,30
1978-11-01,1978,10,0,29
1978-11-30,1978,11,0,30
1978-12-30,1978,12,0,29
1979-01-28,1979,1,0,30
1979-02-27,1979,2,0,29
1979-03-28,1979,3,0,29
1979-04-26,1979,4,0,30
1979-05-26,1979,5,0,29
1979-06-24,1979,6,0,30
1979-07-24,1979,6,1,30
1979-08-23,1979,7,0,29
1979-09-21,1979,8,0,30
1979-10-21,1979,9,0,30
1979-11-20,1979,10,0,29
1979-12-19,1979,11,0,30
1980-01-18,1979,12,0,29
1980-02-16,1980,1,0,30
1980-03-17,1980,2,0,29
1980-04-15,1980,3,0,29
1980-05-14,1980,4,0,30
1980-06-13,1980,5,0,29
1980-07-12,1980,6,0,30
1980-08-11,1980,7,0,29
1980-09-09,1980,8,0,30
1980-10-09,1980,9,0,30
1980-11-08,1980,10,0,29
1980-12-07,1980,11,0,30
1981-01-06,1980,12,0,30
1981-02-05,1981,1,0,29
1981-03-06,1981,2,0,30
1981-04-05,1981,3,0,29
1981-05-04,1981,4,0,29
1981-06-02,1981,5,0,30
1981-07-02,1981,6,0,29
1981-07-31,1981,7,0,29
1981-08-29,1981,8,0,30
1981-09-28,1981,9,0,30
1981-10-28,1981,10,0,29
1981-11-26,1981,11,0,30
1981-12-26,1981,12,0,30
1982-01-25,1982,1,0,30
1982-02-24,1982,2,0,29
1982-03-25,1982,3,0,30
1982-04-24,1982,4,0,29
1982-05-23,1982,4,1,29
1982-06-21,1982,5,0,30
1982-07-21,1982,6,0,29
1982-08-19,1982,7,0,29
1982-09-17,1982,8,0,30
1982-10-17,1982,9,0,29
1982-11-15,1982,10,0,30
1982-12-15,1982,11,0,30
1983-01-14,1982,12,0,30
1983-02-13,1983,1,0,30
1983-03-15,1983,2,0,29
1983-04-13,1983,3,0,30
1983-05-13,1983,4,0,29
1983-06-11,1983,5,0,29
1983-07-10,1983,6,0,30
1983-08-09,1983,7,0,29
1983-09-07,1983,8,0,29
1983-10-06,1983,9,0,30
1983-11-05,1983,10,0,29
1983-12-04,1983,11,0,30
1984-01-03,1983,12,0,30
1984-02-02,1984,1,0,30
1984-03-03,1984,2,0,29
1984-04-01,1984,3,0,30
1984-05-01,1984,4,0,30
1984-05-31,1984,5,0,29
1984-06-29,1984,6,0,29
1984-07-28,1984,7,0,30
1984-08-27,1984,8,0,29
1984-09-25,1984,9,0,29
1984-10-24,1984,10,0,30
1984-11-23,1984,10,1,29
1984-12-22,1984,11,0,30
1985-01-21,1984,12,0,30
1985-02-20,1985,1,0,29
1985-03-21,1985,2,0,30
1985-04-20,1985,3,0,30
1985-05-20,1985,4,0,29
1985-06-18,1985,5,0,30
1985-07-18,1985,6,0,29
1985-08-16,1985,7,0,30
1985-09-15,1985,8,0,29
1985-10-14,1985,9,0,29
1985-11-12,1985,10,0,30
1985-12-12,1985,11,0,29
1986-01-10,1985,12,0,30
1986-02-09,1986,1,0,29
1986-03-10,1986,2,0,30
1986-04-09,1986,3,0,30
1986-05-09,1986,4,0,29
1986-06-07,1986,5,0,30
1986-07-07,1986,6,0,30
1986-08-06,1986,7,0,29
1986-09-04,1986,8,0,30
1986-10-04,1986,9,0,29
1986-11-02,1986,10,0,30
1986-12-02,1986,11,0,29
1986-12-31,1986,12,0,29
1987-01-29,1987,1,0,30
1987-02-28,1987,2,0,29
1987-03-29,1987,3,0,30
1987-04-28,1987,4,0,29
1987-05-27,1987,5,0,30
1987-06-26,1987,6,0,30
1987-07-26,1987,6,1,29
1987-08-24,1987,7,0,30
1987-09-23,1987,8,0,30
1987-10-23,1987,9,0,29
1987-11-21,1987,10,0,30
1987-12-21,1987,11,0,29
1988-01-19,1987,12,0,29
1988-02-17,1988,1,0,30
1988-03-18,1988,2,0,29
1988-04-16,1988,3,0,30
1988-05-16,1988,4,0,29
1988-06-14,1988,5,0,30
1988-07-14,1988,6,0,29
1988-08-12,1988,7,0,30
1988-09-11,1988,8,0,30
1988-10-11,1988,9,0,29
1988-11-09,1988,10,0,30
1988-12-09,1988,11,0,30
1989-01-08,1988,12,0,29
1989-02-06,1989,1,0,30
1989-03-08,1989,2,0,29
1989-04-06,1989,3,0,29
1989-05-05,1989,4,0,30
1989-06-04,1989,5,0,29
1989-07-03,1989,6,0,30
1989-08-02,1989,7,0,29
1989-08-31,1989,8,0,30
1989-09-30,1989,9,0,29
1989-10-29,1989,10,0,30
1989-11-28,1989,11,0,30
1989-12-28,1989,12,0,30
1990-01-27,1990,1,0,29
1990-02-25,1990,2,0,30
1990-03-27,1990,3,0,29
1990-04-25,1990,4,0,29
1990-05-24,1990,5,0,30
1990-06-23,1990,5,1,29
1990-07-22,1990,6,0,29
1990-08-20,1990,7,0,30
1990-09-19,1990,8,0,29
1990-10-18,1990,9,0,30
1990-11-17,1990,10,0,30
1990-12-17,1990,11,0,30
1991-01-16,1990,12,0,30
1991-02-15,1991,1,0,29
1991-03-16,1991,2,0,30
1991-04-15,1991,3,0,29
1991-05-14,1991,4,0,29
1991-06-12,1991,5,0,30
1991-07-12,1991,6,0,29
1991-08-10,1991,7,0,29
1991-09-08,1991,8,0,30
1991-10-08,1991,9,0,29
1991-11-06,1991,10,0,30
1991-12-06,1991,11,0,30
1992-01-05,1991,12,0,30
1992-02-04,1992,1,0,29
1992-03-04,1992,2,0,30
1992-04-03,1992,3,0,30
1992-05-03,1992,4,0,29
1992-06-01,1992,5,0,29
1992-06-30,1992,6,0,30
1992-07-30,1992,7,0,29
1992-08-28,1992,8,0,29
1992-09-26,1992,9,0,30
1992-10-26,1992,10,0,29
1992-11-24,1992,11,0,30
1992-12-24,1992,12,0,30
1993-01-23,1993,1,0,29
1993-02-21,1993,2,0,30
1993-03-23,1993,3,0,30
1993-04-22,1993,3,1,29
1993-05-21,1993,4,0,30
1993-06-20,1993,5,0,29
1993-07-19,1993,6,0,30
1993-08-18,1993,7,0,29
1993-09-16,1993,8,0,29
1993-10-15,1993,9,0,30
1993-11-14,1993,10,0,29
1993-12-13,1993,11,0,30
1994-01-12,1993,12,0,29
1994-02-10,1994,1,0,30
1994-03-12,1994,2,0,30
1994-04-11,1994,3,0,30
1994-05-11,1994,4,0,29
1994-06-09,1994,5,0,30
1994-07-09,1994,6,0,29
1994-08-07,1994,7,0,30
1994-09-06,1994,8,0,29
1994-10-05,1994,9,0,29
1994-11-03,1994,10,0,30
1994-12-03,1994,11,0,29
1995-01-01,1994,12,0,30
1995-01-31,1995,1,0,29
1995-03-01,1995,2,0,30
1995-03-31,1995,3,0,30
1995-04-30,1995,4,0,29
1995-05-29,1995,5,0,30
1995-06-28,1995,6,0,29
1995-07-27,1995,7,0,30
1995-08-26,1995,8,0,30
1995-09-25,1995,8,1,29
1995-10-24,1995,9,0,29
1995-11-22,1995,10,0,30
1995-12-22,1995,11,0,29
1996-01-20,1995,12,0,30
1996-02-19,1996,1,0,29
1996-03-19,1996,2,0,30
1996-04-18,1996,3,0,29
1996-05-17,1996,4,0,30
1996-06-16,1996,5,0,30
1996-07-16,1996,6,0,29
1996-08-14,1996,7,0,30
1996-09-13,1996,8,0,29
1996-10-12,1996,9,0,30
1996-11-11,1996,10,0,30
1996-12-11,1996,11,0,29
1997-01-09,1996,12,0,29
1997-02-07,1997,1,0,30
1997-03-09,1997,2,0,29
1997-04-07,1997,3,0,30
1997-05-07,1997,4,0,29
1997-06-05,1997,5,0,30
1997-07-05,1997,6,0,29
1997-08-03,1997,7,0,30
1997-09-02,1997,8,0,30
1997-10-02,1997,9,0,29
1997-10-31,1997,10,0,30
1997-11-30,1997,11,0,30
1997-12-30,1997,12,0,29
1998-01-28,1998,1,0,30
1998-02-27,1998,2,0,29
1998-03-28,1998,3,0,29
1998-04-26,1998,4,0,30
1998-05-26,1998,5,0,29
1998-06-24,1998,5,1,29
1998-07-23,1998,6,0,30
1998-08-22,1998,7,0,30
1998-09-21,1998,8,0,29
1998-10-20,1998,9,0,30
1998-11-19,1998,10,0,30
1998-12-19,1998,11,0,29
1999-01-17,1998,12,0,30
1999-02-16,1999,1,0,30
1999-03-18,1999,2,0,29
1999-04-16,1999,3,0,29
1999-05-15,1999,4,0,30
1999-06-14,1999,5,0,29
1999-07-13,1999,6,0,29
1999-08-11,1999,7,0,30
1999-09-10,1999,8,0,29
1999-10-09,1999,9,0,30
1999-11-08,1999,10,0,30
1999-12-08,1999,11,0,30
2000-01-07,1999,12,0,29
2000-02-05,2000,1,0,30
2000-03-06,2000,2,0,30
2000-04-05,2000,3,0,29
2000-05-04,2000,4,0,29
2000-06-02,2000,5,0,30
2000-07-02,2000,6,0,29
2000-07-31,2000,7,0,29
2000-08-29,2000,8,0,30
2000-09-28,2000,9,0,29
2000-10-27,2000,10,0,30
2000-11-26,2000,11,0,30
2000-12-26,2000,12,0,29
2001-01-24,2001,1,0,30
2001-02-23,2001,2,0,30
2001-03-25,2001,3,0,29
2001-04-23,2001,4,0,30
2001-05-23,2001,4,1,29
2001-06-21,2001,5,0,30
2001-07-21,2001,6,0,29
2001-08-19,2001,7,0,29
2001-09-17,2001,8,0,30
2001-10-17,2001,9,0,29
2001-11-15,2001,10,0,30
2001-12-15,2001,11,0,29
2002-01-13,2001,12,0,30
2002-02-12,2002,1,0,30
2002-03-14,2002,2,0,30
2002-04-13,2002,3,0,29
2002-05-12,2002,4,0,30
2002-06-11,2002,5,0,29
2002-07-10,2002,6,0,30
2002-08-09,2002,7,0,29
2002-09-07,2002,8,0,29
2002-10-06,2002,9,0,30
2002-11-05,2002,10,0,29
2002-12-04,2002,11,0,30
2003-01-03,2002,12,0,29
2003-02-01,2003,1,0,30
2003-03-03,2003,2,0,30
2003-04-02,2003,3,0,29
2003-05-01,2003,4,0,30
2003-05-31,2003,5,0,30
2003-06-30,2003,6,0,29
2003-07-29,2003,7,0,30
2003-08-28,2003,8,0,29
2003-09-26,2003,9,0,29
2003-10-25,2003,10,0,30
2003-11-24,2003,11,0,29
2003-12-23,2003,12,0,30
2004-01-22,2004,1,0,29
2004-02-20,2004,2,0,30
2004-03-21,2004,2,1,29
2004-04-19,2004,3,0,30
2004-05-19,2004,4,0,30
2004-06-18,2004,5,0,29
2004-07-17,2004,6,0,30
2004-08-16,2004,7,0,29
2004-09-14,2004,8,0,30
2004-10-14,2004,9,0,29
2004-11-12,2004,10,0,30
2004-12-12,2004,11,0,29
2005-01-10,2004,12,0,30
2005-02-09,2005,1,0,29
2005-03-10,2005,2,0,30
2005-04-09,2005,3,0,29
2005-05-08,2005,4,0,30
2005-06-07,2005,5,0,29
2005-07-06,2005,6,0,30
2005-08-05,2005,7,0,30
2005-09-04,2005,8,0,29
2005-10-03,2005,9,0,30
2005-11-02,2005,10,0,29
2005-12-01,2005,11,0,30
2005-12-31,2005,12,0,29
2006-01-29,2006,1,0,30
2006-02-28,2006,2,0,29
2006-03-29,2006,3,0,30
2006-04-28,2006,4,0,29
2006-05-27,2006,5,0,30
2006-06-26,2006,6,0,29
2006-07-25,2006,7,0,30
2006-08-24,2006,7,1,29
2006-09-22,2006,8,0,30
2006-10-22,2006,9,0,30
2006-11-21,2006,10,0,29
2006-12-20,2006,11,0,30
2007-01-19,2006,12,0,30
2007-02-18,2007,1,0,29
2007-03-19,2007,2,0,29
2007-04-17,2007,3,0,30
2007-05-17,2007,4,0,29
2007-06-15,2007,5,0,29
2007-07-14,2007,6,0,30
2007-08-13,2007,7,0,29
2007-09-11,2007,8,0,30
2007-10-11,2007,9,0,30
2007-11-10,2007,10,0,30
2007-12-10,2007,11,0,29
2008-01-08,2007,12,0,30
2008-02-07,2008,1,0,30
2008-03-08,2008,2,0,29
2008-04-06,2008,3,0,29
2008-05-05,2008,4,0,30
2008-06-04,2008,5,0,29
2008-07-03,2008,6,0,29
2008-08-01,2008,7,0,30
2008-08-31,2008,8,0,29
2008-09-29,2008,9,0,30
2008-10-29,2008,10,0,30
2008-11-28,2008,11,0,29
2008-12-27,2008,12,0,30
2009-01-26,2009,1,0,30
2009-02-25,2009,2,0,30
2009-03-27,2009,3,0,29
2009-04-25,2009,4,0,29
2009-05-24,2009,5,0,30
2009-06-23,2009,5,1,29
2009-07-22,2009,6,0,29
2009-08-20,2009,7,0,30
2009-09-19,2009,8,0,29
2009-10-18,2009,9,0,30
2009-11-17,2009,10,0,29
2009-12-16,2009,11,0,30
2010-01-15,2009,12,0,30
2010-02-14,2010,1,0,30
2010-03-16,2010,2,0,29
2010-04-14,2010,3,0,30
2010-05-14,2010,4,0,29
2010-06-12,2010,5,0,30
2010-07-12,2010,6,0,29
2010-08-10,2010,7,0,29
2010-09-08,2010,8,0,30
2010-10-08,2010,9,0,29
2010-11-06,2010,10,0,30
2010-12-06,2010,11,0,29
2011-01-04,2010,12,0,30
2011-02-03,2011,1,0,30
2011-03-05,2011,2,0,29
2011-04-03,2011,3,0,30
2011-05-03,2011,4,0,30
2011-06-02,2011,5,0,29
2011-07-01,2011,6,0,30
2011-07-31,2011,7,0,29
2011-08-29,2011,8,0,29
2011-09-27,2011,9,0,30
2011-10-27,2011,10,0,29
2011-11-25,2011,11,0,30
2011-12-25,2011,12,0,29
2012-01-23,2012,1,0,30
2012-02-22,2012,2,0,29
2012-03-22,2012,3,0,30
2012-04-21,2012,4,0,30
2012-05-21,2012,4,1,29
2012-06-19,2012,5,0,30
2012-07-19,2012,6,0,29
2012-08-17,2012,7,0,30
2012-09-16,2012,8,0,29
2012-10-15,2012,9,0,30
2012-11-14,2012,10,0,29
2012-12-13,2012,11,0,30
2013-01-12,2012,12,0,29
2013-02-10,2013,1,0,30
2013-03-12,2013,2,0,29
2013-04-10,2013,3,0,30
2013-05-10,2013,4,0,29
2013-06-08,2013,5,0,30
2013-07-08,2013,6,0,30
2013-08-07,2013,7,0,29
2013-09-05,2013,8,0,30
2013-10-05,2013,9,0,29
2013-11-03,2013,10,0,30
2013-12-03,2013,11,0,29
2014-01-01,2013,12,0,30
2014-01-31,2014,1,0,29
2014-03-01,2014,2,0,30
2014-03-31,2014,3,0,29
2014-04-29,2014,4,0,30
2014-05-29,2014,5,0,29
2014-06-27,2014,6,0,30
2014-07-27,2014,7,0,29
2014-08-25,2014,8,0,30
2014-09-24,2014,9,0,30
2014-10-24,2014,9,1,29
2014-11-22,2014,10,0,30
2014-12-22,2014,11,0,29
2015-01-20,2014,12,0,30
2015-02-19,2015,1,0,29
2015-03-20,2015,2,0,30
2015-04-19,2015,3,0,29
2015-05-18,2015,4,0,29
2015-06-16,2015,5,0,30
2015-07-16,2015,6,0,29
2015-08-14,2015,7,0,30
2015-09-13,2015,8,0,30
2015-10-13,2015,9,0,30
2015-11-12,2015,10,0,29
2015-12-11,2015,11,0,30
2016-01-10,2015,12,0,29
2016-02-08,2016,1,0,30
2016-03-09,2016,2,0,29
2016-04-07,2016,3,0,30
2016-05-07,2016,4,0,29
2016-06-05,2016,5,0,29
2016-07-04,2016,6,0,30
2016-08-03,2016,7,0,29
2016-09-01,2016,8,0,30
2016-10-01,2016,9,0,30
2016-10-31,2016,10,0,29
2016-11-29,2016,11,0,30
2016-12-29,2016,12,0,30
2017-01-28,2017,1,0,29
2017-02-26,2017,2,0,30
2017-03-28,2017,3,0,29
2017-04-26,2017,4,0,30
2017-05-26,2017,5,0,29
2017-06-24,2017,6,0,29
2017-07-23,2017,6,1,30
2017-08-22,2017,7,0,29
2017-09-20,2017,8,0,30
2017-10-20,2017,9,0,29
2017-11-18,2017,10,0,30
2017-12-18,2017,11,0,30
2018-01-17,2017,12,0,30
2018-02-16,2018,1,0,29
2018-03-17,2018,2,0,30
2018-04-16,2018,3,0,29
2018-05-15,2018,4,0,30
2018-06-14,2018,5,0,29
2018-07-13,2018,6,0,29
2018-08-11,2018,7,0,30
2018-09-10,2018,8,0,29
2018-10-09,2018,9,0,30
2018-11-08,2018,10,0,29
2018-12-07,2018,11,0,30
2019-01-06,2018,12,0,30
2019-02-05,2019,1,0,30
2019-03-07,2019,2,0,29
2019-04-05,2019,3,0,30
2019-05-05,2019,4,0,29
2019-06-03,2019,5,0,30
2019-07-03,2019,6,0,29
2019-08-01,2019,7,0,29
2019-08-30,2019,8,0,30
2019-09-29,2019,9,0,29
2019-10-28,2019,10,0,29
2019-11-26,2019,11,0,30
2019-12-26,2019,12,0,30
2020-01-25,2020,1,0,29
2020-02-23,2020,2,0,30
2020-03-24,2020,3,0,30
2020-04-23,2020,4,0,30
2020-05-23,2020,4,1,29
2020-06-21,2020,5,0,30
2020-07-21,2020,6,0,29
2020-08-19,2020,7,0,29
2020-09-17,2020,8,0,30
2020-10-17,2020,9,0,29
2020-11-15,2020,10,0,30
2020-12-15,2020,11,0,29
2021-01-13,2020,12,0,30
2021-02-12,2021,1,0,29
2021-03-13,2021,2,0,30
2021-04-12,2021,3,0,30
2021-05-12,2021,4,0,29
2021-06-10,2021,5,0,30
2021-07-10,2021,6,0,29
2021-08-08,2021,7,0,30
2021-09-07,2021,8,0,29
2021-10-06,2021,9,0,30
2021-11-05,2021,10,0,29
2021-12-04,2021,11,0,30
2022-01-03,2021,12,0,29
2022-02-01,2022,1,0,30
2022-03-03,2022,2,0,29
2022-04-01,2022,3,0,30
2022-05-01,2022,4,0,29
2022-05-30,2022,5,0,30
2022-06-29,2022,6,0,30
2022-07-29,2022,7,0,29
2022-08-27,2022,8,0,30
2022-09-26,2022,9,0,29
2022-10-25,2022,10,0,30
2022-11-24,2022,11,0,29
2022-12-23,2022,12,0,30
2023-01-22,2023,1,0,29
2023-02-20,2023,2,0,30
2023-03-22,2023,2,1,29
2023-04-20,2023,3,0,29
2023-05-19,2023,4,0,30
2023-06-18,2023,5,0,30
2023-07-18,2023,6,0,29
2023-08-16,2023,7,0,30
2023-09-15,2023,8,0,30
2023-10-15,2023,9,0,29
2023-11-13,2023,10,0,30
2023-12-13,2023,11,0,29
2024-01-11,2023,12,0,30
2024-02-10,2024,1,0,29
2024-03-10,2024,2,0,30
2024-04-09,2024,3,0,29
2024-05-08,2024,4,0,29
2024-06-06,2024,5,0,30
2024-07-06,2024,6,0,29
2024-08-04,2024,7,0,30
2024-09-03,2024,8,0,30
2024-10-03,2024,9,0,29
2024-11-01,2024,10,0,30
2024-12-01,2024,11,0,30
2024-12-31,2024,12,0,29
2025-01-29,2025,1,0,30
2025-02-28,2025,2,0,29
2025-03-29,2025,3,0,30
2025-04-28,2025,4,0,29
2025-05-27,2025,5,0,29
2025-06-25,2025,6,0,30
2025-07-25,2025,6,1,29
2025-08-23,2025,7,0,30
2025-09-22,2025,8,0,29
2025-10-21,2025,9,0,30
2025-11-20,2025,10,0,30
2025-12-20,2025,11,0,30
2026-01-19,2025,12,0,29
2026-02-17,2026,1,0,30
2026-03-19,2026,2,0,29
2026-04-17,2026,3,0,30
2026-05-17,2026,4,0,29
2026-06-15,2026,5,0,29
2026-07-14,2026,6,0,30
2026-08-13,2026,7,0,29
2026-09-11,2026,8,0,29
2026-10-10,2026,9,0,30
2026-11-09,2026,10,0,30
2026-12-09,2026,11,0,30
2027-01-08,2026,12,0,29
2027-02-06,2027,1,0,30
2027-03-08,2027,2,0,30
2027-04-07,2027,3,0,29
2027-05-06,2027,4,0,30
2027-06-05,2027,5,0,29
2027-07-04,2027,6,0,29
2027-08-02,2027,7,0,30
2027-09-01,2027,8,0,29
2027-09-30,2027,9,0,29
2027-10-29,2027,10,0,30
2027-11-28,2027,11,0,30
2027-12-28,2027,12,0,29
2028-01-26,2028,1,0,30
2028-02-25,2028,2,0,30
2028-03-26,2028,3,0,30
2028-04-25,2028,4,0,29
2028-05-24,2028,5,0,30
2028-06-23,2028,5,1,29
2028-07-22,2028,6,0,29
2028-08-20,2028,7,0,30
2028-09-19,2028,8,0,29
2028-10-18,2028,9,0,29
2028-11-16,2028,10,0,30
2028-12-16,2028,11,0,30
2029-01-15,2028,12,0,29
2029-02-13,2029,1,0,30
2029-03-15,2029,2,0,30
2029-04-14,2029,3,0,29
2029-05-13,2029,4,0,30
2029-06-12,2029,5,0,29
2029-07-11,2029,6,0,30
2029-08-10,2029,7,0,29
2029-09-08,2029,8,0,30
2029-10-08,2029,9,0,29
2029-11-06,2029,10,0,29
2029-12-05,2029,11,0,30
2030-01-04,2029,12,0,30
2030-02-03,2030,1,0,29
2030-03-04,2030,2,0,30
2030-04-03,2030,3,0,29
2030-05-02,2030,4,0,30
2030-06-01,2030,5,0,30
2030-07-01,2030,6,0,29
2030-07-30,2030,7,0,30
2030-08-29,2030,8,0,29
2030-09-27,2030,9,0,30
2030-10-27,2030,10,0,29
2030-11-25,2030,11,0,30
2030-12-25,2030,12,0,29
2031-01-23,2031,1,0,29
2031-02-21,2031,2,0,30
2031-03-23,2031,3,0,30
2031-04-22,2031,3,1,29
2031-05-21,2031,4,0,30
2031-06-20,2031,5,0,29
2031-07-19,2031,6,0,30
2031-08-18,2031,7,0,30
2031-09-17,2031,8,0,29
2031-10-16,2031,9,0,30
2031-11-15,2031,10,0,29
2031-12-14,2031,11,0,30
2032-01-13,2031,12,0,29
2032-02-11,2032,1,0,30
2032-03-12,2032,2,0,29
2032-04-10,2032,3,0,29
2032-05-09,2032,4,0,30
2032-06-08,2032,5,0,29
2032-07-07,2032,6,0,30
2032-08-06,2032,7,0,30
2032-09-05,2032,8,0,29
2032-10-04,2032,9,0,30
2032-11-03,2032,10,0,30
2032-12-03,2032,11,0,29
2033-01-01,2032,12,0,30
2033-01-31,2033,1,0,29
2033-03-01,2033,2,0,30
2033-03-31,2033,3,0,29
2033-04-29,2033,4,0,29
2033-05-28,2033,5,0,30
2033-06-27,2033,6,0,29
2033-07-26,2033,7,0,30
2033-08-25,2033,8,0,29
2033-09-23,2033,9,0,30
2033-10-23,2033,10,0,30
2033-11-22,2033,11,0,30
2033-12-22,2033,11,1,29
2034-01-20,2033,12,0,30
2034-02-19,2034,1,0,29
2034-03-20,2034,2,0,30
2034-04-19,2034,3,0,29
2034-05-18,2034,4,0,29
2034-06-16,2034,5,0,30
2034-07-16,2034,6,0,29
2034-08-14,2034,7,0,30
2034-09-13,2034,8,0,29
2034-10-12,2034,9,0,30
2034-11-11,2034,10,0,30
2034-12-11,2034,11,0,29
2035-01-09,2034,12,0,30
2035-02-08,2035,1,0,30
2035-03-10,2035,2,0,29
2035-04-08,2035,3,0,30
2035-05-08,2035,4,0,29
2035-06-06,2035,5,0,29
2035-07-05,2035,6,0,30
2035-08-04,2035,7,0,29
2035-09-02,2035,8,0,29
2035-10-01,2035,9,0,30
2035-10-31,2035,10,0,30
2035-11-30,2035,11,0,29
2035-12-29,2035,12,0,30
2036-01-28,2036,1,0,30
2036-02-27,2036,2,0,30
2036-03-28,2036,3,0,29
2036-04-26,2036,4,0,30
2036-05-26,2036,5,0,29
2036-06-24,2036,6,0,29
2036-07-23,2036,6,1,30
2036-08-22,2036,7,0,29
2036-09-20,2036,8,0,29
2036-10-19,2036,9,0,30
2036-11-18,2036,10,0,29
2036-12-17,2036,11,0,30
2037-01-16,2036,12,0,30
2037-02-15,2037,1,0,30
2037-03-17,2037,2,0,30
2037-04-16,2037,3,0,29
2037-05-15,2037,4,0,30
2037-06-14,2037,5,0,29
2037-07-13,2037,6,0,29
2037-08-11,2037,7,0,30
2037-09-10,2037,8,0,29
2037-10-09,2037,9,0,29
2037-11-07,2037,10,0,30
2037-12-07,2037,11,0,29
2038-01-05,2037,12,0,30
2038-02-04,2038,1,0,30
2038-03-06,2038,2,0,30
2038-04-05,2038,3,0,29
2038-05-04,2038,4,0,30
2038-06-03,2038,5,0,29
2038-07-02,2038,6,0,30
2038-08-01,2038,7,0,29
2038-08-30,2038,8,0,30
2038-09-29,2038,9,0,29
2038-10-28,2038,10,0,29
2038-11-26,2038,11,0,30
2038-12-26,2038,12,0,29
2039-01-24,2039,1,0,30
2039-02-23,2039,2,0,30
2039-03-25,2039,3,0,29
2039-04-23,2039,4,0,30
2039-05-23,2039,5,0,30
2039-06-22,2039,5,1,29
2039-07-21,2039,6,0,30
2039-08-20,2039,7,0,29
